pond,id,abnormal,hetero,road,oil
K02,E011,0,0.63764233,1,1
K02,E020,1,1.27528466,1,1
K02,E031,0,0.63764233,1,1
K02,E041,0,0.956463495,1,1
K02,E071,0,1.163814179,1,1
K02,E081,0,0.956463495,1,1
K02,E090,1,1.27528466,1,1
K02,E101,0,0.956463495,1,1
K02,E111,0,1.27528466,1,1
K02,E121,0,0.63764233,1,1
K02,E131,0,0.318821165,1,1
K02,E141,0,1.27528466,1,1
K02,E151,0,0.63764233,1,1
K02,E161,0,0.63764233,1,1
K02,E171,0,0.956463495,1,1
K02,E181,0,0.956463495,1,1
K02,E191,0,0.318821165,1,1
K02,E201,0,1.27528466,1,1
K02,E211,0,0.63764233,1,1
K02,E221,0,0.956463495,1,1
K02,E231,0,0.956463495,1,1
K02,E241,0,0.956463495,1,1
K02,E251,0,0.63764233,1,1
K02,E261,0,0.956463495,1,1
K02,E271,0,0.956463495,1,1
K02,E281,0,0.63764233,1,1
K02,E291,0,0.63764233,1,1
K02,E311,0,1.594105825,1,1
K02,E400,1,0.63764233,1,1
K03,E011,0,1.365153226,1,1
K03,E021,0,0,1,1
K03,E031,0,0.956463495,1,1
K03,E041,0,0,1,1
K03,E051,0,0.63764233,1,1
K03,E061,0,0.318821165,1,1
K03,E071,0,0.956463495,1,1
K03,E081,0,1.27528466,1,1
K03,E091,0,0.63764233,1,1
K03,E101,0,0.956463495,1,1
K03,E111,0,1.27528466,1,1
K03,E121,0,0.63764233,1,1
K03,E130,1,0,1,1
K03,E141,0,0.956463495,1,1
K03,E161,0,0.318821165,1,1
K03,E171,0,0.318821165,1,1
K03,E181,0,0.956463495,1,1
K03,E191,0,0.318821165,1,1
K03,E201,0,1.594105825,1,1
K03,E221,0,0.956463495,1,1
K03,E231,0,0.830122868,1,1
K03,E241,0,1.27528466,1,1
K03,E251,0,0.63764233,1,1
K03,E261,0,0.956463495,1,1
K03,E281,0,0.63764233,1,1
K03,E291,0,0.956463495,1,1
K03,E440,1,1.27528466,1,1
K08,E011,0,1.367601674,0,0
K08,E021,0,0.63764233,0,0
K08,E030,1,1.27528466,0,0
K08,E040,1,1.594105825,0,0
K08,E051,0,0.63764233,0,0
K08,E061,0,1.594105825,0,0
K08,E071,0,0.63764233,0,0
K08,E081,0,1.660245737,0,0
K08,E090,1,0.63764233,0,0
K08,E101,0,0.63764233,0,0
K08,E111,0,0.956463495,0,0
K08,E121,0,1.27528466,0,0
K08,E131,0,1.245184303,0,0
K08,E141,0,0.956463495,0,0
K08,E151,0,1.594105825,0,0
K08,E161,0,1.820204302,0,0
K08,E171,0,0.63764233,0,0
K08,E181,0,1.27528466,0,0
K08,E191,0,0.47048296,0,0
K08,E201,0,0.956463495,0,0
K08,E211,0,1.594105825,0,0
K08,E221,0,0.956463495,0,0
K08,E241,0,0.830122868,0,0
K08,E251,0,1.594105825,0,0
K08,E261,0,1.594105825,0,0
K08,E271,0,0.956463495,0,0
K08,E281,0,0,0,0
K08,E290,1,1.594105825,0,0
K08,E291,0,0.63764233,0,0
K08,E301,0,1.594105825,0,0
K08,E311,0,1.91292699,0,0
K08,E321,0,1.594105825,0,0
K08,E331,0,1.594105825,0,0
K08,E400,1,0.63764233,0,0
K08,E510,1,0.63764233,0,0
K08,E580,1,1.025701256,0,0
K08,E610,1,0.63764233,0,0
K14,E011,0,0.956463495,0,0
K14,E020,1,0.956463495,0,0
K14,E030,1,0.956463495,0,0
K14,E041,0,1.27528466,0,0
K14,E050,1,0.63764233,0,0
K14,E071,0,0.956463495,0,0
K14,E091,0,0.38793806,0,0
K14,E101,0,0,0,0
K14,E111,0,0.956463495,0,0
K14,E120,1,0.956463495,0,0
K14,E131,0,0.63764233,0,0
K14,E141,0,0.956463495,0,0
K14,E151,0,0,0,0
K14,E160,1,1.27528466,0,0
K14,E170,1,0.63764233,0,0
K14,E230,1,0.415061434,0,0
K14,E240,1,1.594105825,0,0
K14,E290,1,0.63764233,0,0
K14,E300,1,0.63764233,0,0
K14,E360,1,0.830122868,0,0
K14,E380,1,1.711448225,0,0
K14,E400,1,1.594105825,0,0
K14,E410,1,1.594105825,0,0
K14,E430,1,1.594105825,0,0
K14,E440,1,0.63764233,0,0
K14,E470,1,0.63764233,0,0
K14,E520,1,1.91292699,0,0
K14,E530,1,1.242290695,0,0
K31,E010,1,1.27528466,0,0
K31,E021,0,0.956463495,0,0
K31,E031,0,1.594105825,0,0
K31,E041,0,0.63764233,0,0
K31,E051,0,0.63764233,0,0
K31,E061,0,0.956463495,0,0
K31,E071,0,0.63764233,0,0
K31,E091,0,0.63764233,0,0
K31,E101,0,0.956463495,0,0
K31,E111,0,0.956463495,0,0
K31,E121,0,0.956463495,0,0
K31,E131,0,0.956463495,0,0
K31,E141,0,1.594105825,0,0
K31,E151,0,0.956463495,0,0
K31,E161,0,0.63764233,0,0
K31,E171,0,0.956463495,0,0
K31,E191,0,0.956463495,0,0
K31,E201,0,0.956463495,0,0
K31,E211,0,1.27528466,0,0
K31,E221,0,1.27528466,0,0
K31,E231,0,1.27528466,0,0
K31,E241,0,1.27528466,0,0
K31,E251,0,1.27528466,0,0
K31,E270,1,0.63764233,0,0
K31,E370,0,0.956463495,0,0
K31,E520,1,0.63764233,0,0
K31,E870,1,1.27528466,0,0
K31,E950,1,1.27528466,0,0
K46,E011,0,0.318821165,0,0
K46,E021,0,1.27528466,0,0
K46,E031,0,0.318821165,0,0
K46,E051,0,1.27528466,0,0
K46,E071,0,1.594105825,0,0
K46,E081,0,1.27528466,0,0
K46,E091,0,1.27528466,0,0
K46,E101,0,0.63764233,0,0
K46,E111,0,1.27528466,0,0
K46,E131,0,0.63764233,0,0
K46,E1511,0,0.63764233,0,0
K46,E1521,0,0.956463495,0,0
K46,E161,0,0.956463495,0,0
K46,E171,0,0.318821165,0,0
K46,E181,0,0.956463495,0,0
K46,E191,0,1.27528466,0,0
K46,E201,0,0.341900419,0,0
K46,E211,0,0.63764233,0,0
K46,E320,0,0.956463495,0,0
K46,E330,1,0.63764233,0,0
K46,E340,1,0.63764233,0,0
K46,E400,1,0.956463495,0,0
K46,E430,1,0.366019346,0,0
K46,E450,1,0.318821165,0,0
K47,E011,0,1.27528466,0,0
K47,E021,0,1.594105825,0,0
K47,E031,0,1.594105825,0,0
K47,E041,0,1.27528466,0,0
K47,E051,0,1.594105825,0,0
K47,E061,0,0.63764233,0,0
K47,E071,0,1.27528466,0,0
K47,E081,0,0.63764233,0,0
K47,E090,1,1.27528466,0,0
K47,E101,0,1.27528466,0,0
K47,E111,0,1.594105825,0,0
K47,E121,0,0.956463495,0,0
